"beleif,disbeleif,question,mock",disbeleif,question,mock
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0.95,0.95,0.95,0.95",['0.95'],['0.95'],['0.95']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0.85",['0'],['0'],['0.85']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"1.5,0,1.5,0",['0'],['1.5'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0.85,0.75,0.75",['0.85'],['0.75'],['0.75']
"0,0.75,0.85,0.75",['0.75'],['0.85'],['0.75']
"0,1.0,0,0",['1.0'],['0'],['0']
"0.7,0.95,0.8,0.85",['0.95'],['0.8'],['0.85']
"0.75,0.7,10,0.9",['0.7'],['10'],['0.9']
"0,0,0,0",['0'],['0'],['0']
"0.8,0.6,0.75,0",['0.6'],['0.75'],['0']
"0,1.0,1.0,1.0",['1.0'],['1.0'],['1.0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0.9,0",['0'],['0.9'],['0']
"0,0,0,0.85",['0'],['0'],['0.85']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0.85",['0'],['0'],['0.85']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,1.0,1.0,0",['1.0'],['1.0'],['0']
"0.8,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"1.0,1.0,1.0,1.0",['1.0'],['1.0'],['1.0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0.5,0.75,0.75,0.6",['0.75'],['0.75'],['0.6']
"1.0,1.0,0,0",['1.0'],['0'],['0']
"1.0,10,1.0,0",['10'],['1.0'],['0']
"0,1.0,0,0.8",['1.0'],['0'],['0.8']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0.75,0.8,0.8,0.8",['0.8'],['0.8'],['0.8']
"0.8,10,0,0",['10'],['0'],['0']
"0,1,0,0",['1'],['0'],['0']
"0,0,1.0,0",['0'],['1.0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0.85,0,0",['0.85'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,1.0,0,0",['1.0'],['0'],['0']
"0,0,0,1.5",['0'],['0'],['1.5']
"0,0,0.95,0",['0'],['0.95'],['0']
"0,1.0,0,0",['1.0'],['0'],['0']
"0,1.5,1.5,1.5",['1.5'],['1.5'],['1.5']
"0,0,0,0",['0'],['0'],['0']
"1.0,1,10,0",['1'],['10'],['0']
"0.95,0,0.95,0",['0'],['0.95'],['0']
"0,0.95,0,0",['0.95'],['0'],['0']
"1.8,1,0.7,1.0",['1'],['0.7'],['1.0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0,0,0,0",['0'],['0'],['0']
"0.95,0,0,0.85",['0'],['0'],['0.85']
